Threshold,Precision,Recall,F1
0.9500000000000003,0.9226190476190477,0.8806818181818182,0.9011627906976745
0.9000000000000002,0.884522854851644,0.8952922077922078,0.8898749495764421
0.8500000000000003,0.8573063716138878,0.9119318181818182,0.8837758112094395
0.8000000000000003,0.8281649033199562,0.9212662337662337,0.8722382324687801
0.7500000000000002,0.7945062586926287,0.9273538961038961,0.8558052434456929
0.7000000000000002,0.7624090006618134,0.935064935064935,0.8399562522785271
0.6500000000000001,0.7302982731554161,0.9439935064935064,0.82350858559037
0.6000000000000002,0.6967626967626968,0.9521103896103896,0.8046647230320699
0.5500000000000002,0.6720705346985211,0.9590097402597403,0.7903010033444816
0.5000000000000001,0.6422390481341266,0.9638798701298701,0.7708536189548848
0.4500000000000001,0.6085955487336915,0.9655032467532467,0.746587164600659
0.40000000000000013,0.5762752646775746,0.9719967532467533,0.7235649546827795
0.3500000000000001,0.544404168554599,0.9752435064935064,0.6987496365222449
0.30000000000000004,0.5083280624077589,0.9784902597402597,0.6690717358124046
0.25000000000000006,0.465666474321985,0.9825487012987013,0.6318674148505807
0.20000000000000004,0.41759944894093337,0.984172077922078,0.5863861685406844
0.15000000000000002,0.3654944394349264,0.987012987012987,0.5334503180522044
0.1,0.2963951935914553,0.9910714285714286,0.4563206577595067
