Model,Accuracy,Precision,Recall,F1 Score,ROC AUC,PR AUC
Random Forest,0.9992602628057834,0.6422390481341266,0.9638798701298701,0.7708536189548848,0.9988445824952755,0.9426344096350916
XGBoost,0.9984482283503756,0.45345794392523364,0.984577922077922,0.6209367801382135,0.999158560416886,0.9457376957373971
LightGBM,0.9975707072453381,0.34608301459130186,0.9914772727272727,0.5130736112569568,0.99956502377438,0.9026510789586719
KNN,0.9955097114081934,0.21097964978703265,0.9046266233766234,0.34215979737508634,0.9550605024752773,0.3281434154923969
Gradient Boosting,0.9886985759535118,0.10211560886223554,0.9951298701298701,0.1852243541320441,0.999224099883093,0.891842141180008
Logistic Regression,0.9476326838105477,0.022855408950315178,0.9476461038961039,0.04463432350804756,0.9886250756871562,0.530034885704204
