Model,Accuracy,Precision,Recall,F1 Score,ROC AUC,PR AUC
Random Forest,0.9997092392756443,0.9604438012542209,0.8080357142857143,0.87767247079568,0.9970859134516215,0.9589506352945619
XGBoost,0.9996537065967583,0.9378338999514327,0.783685064935065,0.853858058810524,0.9994237389255535,0.9425862766277974
KNN,0.9995814093355672,0.9219462747085656,0.7382305194805194,0.8199233716475096,0.9141925945114314,0.7711973773084608
Gradient Boosting,0.9990197958283432,0.9135285913528591,0.26582792207792205,0.4118201823325998,0.6716604779769902,0.3338523277356404
LightGBM,0.9987127944148794,0.5021459227467812,0.33238636363636365,0.4,0.677049848827,0.17540604081061933
Logistic Regression,0.9473524009501327,0.022541083413698045,0.9391233766233766,0.044025456378839624,0.9890350797880699,0.5436929479887869
